antiguedad_empleo,tasa_interes,porcentaje_ingreso,edad,ingreso_anual,monto_prestamo,incumplimiento,historial_crediticio_anios,tenencia_vivienda_OTHER,tenencia_vivienda_OWN,tenencia_vivienda_RENT,motivo_prestamo_EDUCATION,motivo_prestamo_HOMEIMPROVEMENT,motivo_prestamo_MEDICAL,motivo_prestamo_PERSONAL,motivo_prestamo_VENTURE,calificacion_prestamo_B,calificacion_prestamo_C,calificacion_prestamo_D,calificacion_prestamo_E,calificacion_prestamo_F,calificacion_prestamo_G,incumplimiento_previo_Y
17.0,16.02,0.5,22,59000,29800,1,3,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
5.0,11.14,0.1,21,14400,1000,0,2,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1.0,12.87,0.5,25,14400,5500,1,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
4.0,15.23,0.5,23,65500,29800,1,2,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
8.0,14.27,0.5,24,54400,29800,1,4,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
2.0,7.14,0.25,21,14400,2500,1,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
8.0,12.42,0.45,26,77100,29800,1,3,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
5.0,11.11,0.44,24,78956,29800,1,4,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
8.0,8.9,0.42,24,83000,29800,1,2,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
6.0,14.74,0.16,21,14400,1600,1,3,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
6.0,10.37,0.41,22,85000,29800,1,4,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
2.0,8.63,0.45,21,14400,4500,1,2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
2.0,7.9,0.37,23,95000,29800,1,2,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
4.0,18.39,0.32,26,108160,29800,1,4,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
2.0,7.9,0.3,23,115000,29800,0,4,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
7.0,10.65,0.06,23,225000,29800,0,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.0,7.9,0.29,23,120000,29800,0,4,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
7.0,18.39,0.32,23,92111,29800,1,4,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
8.0,18.25,0.31,23,113000,29800,1,4,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
8.0,10.99,0.16,24,14400,1750,1,2,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2.0,7.49,0.22,25,162500,29800,0,4,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
